gold_template,predicted_template,count
template-interior-design-mood-board-generator,__abstain__,27
template-recipe,__abstain__,27
template-education-card,__abstain__,26
template-fandom-character-grid-poster,__abstain__,26
template-product-poster,__abstain__,26
template-fashion-inspired-gown-design-sheet,__abstain__,25
template-intangible-heritage,__abstain__,24
template-species-science,__abstain__,24
template-travel,__abstain__,24
template-mbti-generic,__abstain__,22
template-mbti-personality-compatibility-infographic,__abstain__,21
template-english-grammar-wordlist-infographic,__abstain__,20
template-figure-principles-infographic,__abstain__,20
template-lifestyle-watercolor-infographic,__abstain__,20
template-vocabulary,__abstain__,19
template-vocabulary,template-vocabulary,12
template-figure-principles-infographic,template-figure-principles-infographic,11
template-lifestyle-watercolor-infographic,template-lifestyle-watercolor-infographic,11
template-english-grammar-wordlist-infographic,template-english-grammar-wordlist-infographic,10
template-mbti-personality-compatibility-infographic,template-mbti-personality-compatibility-infographic,10
template-mbti-generic,template-mbti-generic,9
template-intangible-heritage,template-intangible-heritage,7
template-species-science,template-species-science,7
template-travel,template-travel,7
template-fashion-inspired-gown-design-sheet,template-fashion-inspired-gown-design-sheet,6
template-education-card,template-education-card,5
template-fandom-character-grid-poster,template-fandom-character-grid-poster,5
template-product-poster,template-product-poster,5
template-interior-design-mood-board-generator,template-interior-design-mood-board-generator,4
template-recipe,template-recipe,4
template-english-grammar-wordlist-infographic,template-vocabulary,1
